Header,GOid,GOterm,Score
NP_620128,GO:0005741,C:mitochondrial outer membrane,0.49
NP_620175,GO:0005743,C:mitochondrial inner membrane,0.63
NP_653190,GO:0005741,C:mitochondrial outer membrane,0.26
NP_653214,GO:0005758,C:mitochondrial intermembrane space,0.71
NP_659540,GO:0005741,C:mitochondrial outer membrane,0.19
NP_666500,GO:0005759,C:mitochondrial matrix,0.46
NP_689452,GO:0005741,C:mitochondrial outer membrane,0.39
NP_689920,GO:0005743,C:mitochondrial inner membrane,0.97
NP_689953,GO:0005743,C:mitochondrial inner membrane,0.22
NP_689996,GO:0005743,C:mitochondrial inner membrane,0.19
NP_733781,GO:0005759,C:mitochondrial matrix,0.8
NP_758454,GO:0005743,C:mitochondrial inner membrane,0.2
NP_758455,GO:0005759,C:mitochondrial matrix,0.35
NP_776188,GO:0005743,C:mitochondrial inner membrane,0.98
NP_777577,GO:0005743,C:mitochondrial inner membrane,0.43
NP_808818,GO:0005741,C:mitochondrial outer membrane,0.37
NP_851822,GO:0005758,C:mitochondrial intermembrane space,0.23
NP_852121,GO:0005743,C:mitochondrial inner membrane,0.27
NP_899634,GO:0005743,C:mitochondrial inner membrane,0.42
NP_932155,GO:0005758,C:mitochondrial intermembrane space,0.49
NP_940938,GO:0005741,C:mitochondrial outer membrane,0.75
NP_955781,GO:0005743,C:mitochondrial inner membrane,0.42
NP_957715,GO:0005743,C:mitochondrial inner membrane,0.38
NP_998816,GO:0005743,C:mitochondrial inner membrane,0.91
YP_003024034,GO:0005743,C:mitochondrial inner membrane,0.9
YP_003024038,GO:0005743,C:mitochondrial inner membrane,0.79
NP_000010,GO:0005759,C:mitochondrial matrix,0.2
NP_000131,GO:0005759,C:mitochondrial matrix,0.17
NP_000746,GO:0005743,C:mitochondrial inner membrane,0.29
NP_001003696,GO:0005759,C:mitochondrial matrix,0.59
NP_001007251,GO:0005758,C:mitochondrial intermembrane space,0.28
NP_001008216,GO:0005758,C:mitochondrial intermembrane space,0.78
NP_001009814,GO:0005759,C:mitochondrial matrix,0.14
NP_001010891,GO:0005741,C:mitochondrial outer membrane,0.31
NP_001011700,GO:0005743,C:mitochondrial inner membrane,0.26
NP_001013454,GO:0005743,C:mitochondrial inner membrane,0.31
NP_001018024,GO:0005758,C:mitochondrial intermembrane space,0.82
NP_001019637,GO:0005759,C:mitochondrial matrix,0.52
NP_001025010,GO:0005743,C:mitochondrial inner membrane,0.44
NP_001030589,GO:0005743,C:mitochondrial inner membrane,0.93
NP_001032367,GO:0005741,C:mitochondrial outer membrane,0.17
NP_001034937,GO:0005758,C:mitochondrial intermembrane space,0.29
NP_001036096,GO:0005759,C:mitochondrial matrix,0.22
NP_001075032,GO:0005759,C:mitochondrial matrix,0.12
NP_001076581,GO:0005743,C:mitochondrial inner membrane,0.1
NP_001091947,GO:0005759,C:mitochondrial matrix,0.29
NP_001092756,GO:0005743,C:mitochondrial inner membrane,0.33
NP_001093096,GO:0005758,C:mitochondrial intermembrane space,0.19
NP_001093097,GO:0005741,C:mitochondrial outer membrane,0.18
NP_001095132,GO:0005759,C:mitochondrial matrix,0.14
NP_001121132,GO:0005741,C:mitochondrial outer membrane,0.7
NP_001128231,GO:0005741,C:mitochondrial outer membrane,0.33
NP_001129522,GO:0005741,C:mitochondrial outer membrane,0.27
NP_001135858,GO:0005743,C:mitochondrial inner membrane,0.32
NP_001137153,GO:0005743,C:mitochondrial inner membrane,0.33
NP_001138341,GO:0005759,C:mitochondrial matrix,0.6
NP_001139373,GO:0005759,C:mitochondrial matrix,0.48
NP_001139443,GO:0005743,C:mitochondrial inner membrane,0.75
NP_001152,GO:0005743,C:mitochondrial inner membrane,0.25
NP_001155251,GO:0005759,C:mitochondrial matrix,0.3
NP_001157207,GO:0005759,C:mitochondrial matrix,0.13
NP_001158312,GO:0005743,C:mitochondrial inner membrane,0.27
NP_001161074,GO:0005741,C:mitochondrial outer membrane,0.14
NP_001161803,GO:0005743,C:mitochondrial inner membrane,0.62
NP_001162581,GO:0005743,C:mitochondrial inner membrane,0.88
NP_001165088,GO:0005741,C:mitochondrial outer membrane,0.15
NP_001165438,GO:0005759,C:mitochondrial matrix,0.27
NP_001166166,GO:0005759,C:mitochondrial matrix,0.58
NP_001166927,GO:0005743,C:mitochondrial inner membrane,0.21
NP_001171906,GO:0005743,C:mitochondrial inner membrane,0.56
NP_001182448,GO:0005759,C:mitochondrial matrix,0.18
NP_001185808,GO:0005743,C:mitochondrial inner membrane,0.1
NP_001191756,GO:0005743,C:mitochondrial inner membrane,0.34
NP_001191759,GO:0005743,C:mitochondrial inner membrane,0.23
NP_001192180,GO:0005743,C:mitochondrial inner membrane,0.45
NP_001229697,GO:0005759,C:mitochondrial matrix,0.56
NP_001229768,GO:0005759,C:mitochondrial matrix,0.17
NP_001229832,GO:0005741,C:mitochondrial outer membrane,0.6
NP_001231664,GO:0005743,C:mitochondrial inner membrane,0.8
NP_001239605,GO:0005743,C:mitochondrial inner membrane,0.24
NP_001242936,GO:0005743,C:mitochondrial inner membrane,0.16
NP_001243459,GO:0005743,C:mitochondrial inner membrane,0.8
NP_001243463,GO:0005743,C:mitochondrial inner membrane,0.98
NP_001243893,GO:0005741,C:mitochondrial outer membrane,0.71
NP_001243897,GO:0005743,C:mitochondrial inner membrane,0.55
NP_001244271,GO:0005743,C:mitochondrial inner membrane,0.33
NP_001245317,GO:0005741,C:mitochondrial outer membrane,0.42
NP_001248374,GO:0005741,C:mitochondrial outer membrane,0.38
NP_001257293,GO:0005741,C:mitochondrial outer membrane,0.1
NP_001257808,GO:0005741,C:mitochondrial outer membrane,0.39
NP_001257817,GO:0005743,C:mitochondrial inner membrane,0.94
NP_001263409,GO:0005759,C:mitochondrial matrix,0.28
NP_001263997,GO:0005741,C:mitochondrial outer membrane,0.65
NP_001265101,GO:0005743,C:mitochondrial inner membrane,0.5
NP_001265522,GO:0005743,C:mitochondrial inner membrane,0.51
NP_001267725,GO:0005759,C:mitochondrial matrix,0.26
NP_001273049,GO:0005743,C:mitochondrial inner membrane,0.7
NP_001274270,GO:0005759,C:mitochondrial matrix,0.29
NP_001275900,GO:0005743,C:mitochondrial inner membrane,0.24
NP_001855,GO:0005743,C:mitochondrial inner membrane,0.81
NP_002071,GO:0005743,C:mitochondrial inner membrane,0.23
NP_002428,GO:0005743,C:mitochondrial inner membrane,0.95
NP_002483,GO:0005743,C:mitochondrial inner membrane,0.76
NP_002684,GO:0005759,C:mitochondrial matrix,0.34
NP_002993,GO:0005743,C:mitochondrial inner membrane,0.9
NP_003110,GO:0005743,C:mitochondrial inner membrane,0.88
NP_003162,GO:0005759,C:mitochondrial matrix,0.23
NP_003163,GO:0005743,C:mitochondrial inner membrane,0.85
NP_003696,GO:0005743,C:mitochondrial inner membrane,0.92
NP_003841,GO:0005759,C:mitochondrial matrix,0.32
NP_004042,GO:0005743,C:mitochondrial inner membrane,0.6
NP_004137,GO:0005759,C:mitochondrial matrix,0.32
NP_004246,GO:0005759,C:mitochondrial matrix,0.71
NP_004444,GO:0005743,C:mitochondrial inner membrane,0.45
NP_004474,GO:0005759,C:mitochondrial matrix,0.59
NP_004896,GO:0005741,C:mitochondrial outer membrane,0.26
NP_005331,GO:0005741,C:mitochondrial outer membrane,0.34
NP_005509,GO:0005759,C:mitochondrial matrix,0.77
NP_005821,GO:0005759,C:mitochondrial matrix,0.31
NP_005879,GO:0005743,C:mitochondrial inner membrane,0.78
NP_006205,GO:0005743,C:mitochondrial inner membrane,0.13
NP_006336,GO:0005743,C:mitochondrial inner membrane,0.88
NP_006431,GO:0005759,C:mitochondrial matrix,0.17
NP_006853,GO:0005741,C:mitochondrial outer membrane,0.59
NP_009133,GO:0005741,C:mitochondrial outer membrane,0.14
NP_009139,GO:0005759,C:mitochondrial matrix,0.19
NP_009146,GO:0005759,C:mitochondrial matrix,0.54
NP_009193,GO:0005743,C:mitochondrial inner membrane,0.13
NP_009294,GO:0005743,C:mitochondrial inner membrane,0.13
NP_036193,GO:0005741,C:mitochondrial outer membrane,0.14
NP_036340,GO:0005759,C:mitochondrial matrix,0.24
NP_037460,GO:0005743,C:mitochondrial inner membrane,0.12
NP_054775,GO:0005741,C:mitochondrial outer membrane,0.67
NP_054817,GO:0005743,C:mitochondrial inner membrane,0.25
NP_054861,GO:0005741,C:mitochondrial outer membrane,0.45
NP_054894,GO:0005759,C:mitochondrial matrix,0.16
NP_055037,GO:0005758,C:mitochondrial intermembrane space,0.13
NP_055205,GO:0005741,C:mitochondrial outer membrane,0.13
NP_055324,GO:0005743,C:mitochondrial inner membrane,0.29
NP_055452,GO:0005743,C:mitochondrial inner membrane,0.51
NP_055578,GO:0005759,C:mitochondrial matrix,0.42
NP_055720,GO:0005759,C:mitochondrial matrix,0.24
NP_055975,GO:0005743,C:mitochondrial inner membrane,0.35
NP_056512,GO:0005743,C:mitochondrial inner membrane,0.93
NP_056991,GO:0005759,C:mitochondrial matrix,0.46
NP_057445,GO:0005743,C:mitochondrial inner membrane,0.53
NP_057571,GO:0005743,C:mitochondrial inner membrane,0.27
NP_057692,GO:0005741,C:mitochondrial outer membrane,0.51
NP_058212,GO:0005743,C:mitochondrial inner membrane,0.3
NP_060245,GO:0005743,C:mitochondrial inner membrane,0.57
NP_060294,GO:0005741,C:mitochondrial outer membrane,0.55
NP_060843,GO:0005741,C:mitochondrial outer membrane,0.45
NP_060934,GO:0005741,C:mitochondrial outer membrane,0.64
NP_064571,GO:0005759,C:mitochondrial matrix,0.24
NP_064632,GO:0005743,C:mitochondrial inner membrane,0.3
NP_065154,GO:0005743,C:mitochondrial inner membrane,0.45
NP_065157,GO:0005759,C:mitochondrial matrix,0.27
NP_073571,GO:0005759,C:mitochondrial matrix,0.24
NP_077718,GO:0005743,C:mitochondrial inner membrane,0.56
NP_078894,GO:0005741,C:mitochondrial outer membrane,0.48
NP_078954,GO:0005743,C:mitochondrial inner membrane,0.18
NP_078974,GO:0005743,C:mitochondrial inner membrane,0.92
NP_079114,GO:0005741,C:mitochondrial outer membrane,0.18
NP_079325,GO:0005741,C:mitochondrial outer membrane,0.37
NP_110438,GO:0005759,C:mitochondrial matrix,0.45
NP_114107,GO:0005759,C:mitochondrial matrix,0.23
NP_114403,GO:0005743,C:mitochondrial inner membrane,0.71
NP_115904,GO:0005743,C:mitochondrial inner membrane,0.47
NP_203526,GO:0005759,C:mitochondrial matrix,0.45
NP_443082,GO:0005759,C:mitochondrial matrix,0.36
NP_443097,GO:0005759,C:mitochondrial matrix,0.38
NP_570972,GO:0005743,C:mitochondrial inner membrane,0.56
NP_659418,GO:0005743,C:mitochondrial inner membrane,0.82
NP_660200,GO:0005743,C:mitochondrial inner membrane,0.23
NP_660308,GO:0005741,C:mitochondrial outer membrane,0.54
NP_660348,GO:0005743,C:mitochondrial inner membrane,0.93
NP_663619,GO:0005743,C:mitochondrial inner membrane,0.35
NP_689611,GO:0005743,C:mitochondrial inner membrane,0.36
NP_694551,GO:0005759,C:mitochondrial matrix,0.32
NP_705690,GO:0005743,C:mitochondrial inner membrane,0.19
NP_733936,GO:0005743,C:mitochondrial inner membrane,0.23
NP_775930,GO:0005759,C:mitochondrial matrix,0.73
NP_851999,GO:0005741,C:mitochondrial outer membrane,0.18
NP_852128,GO:0005743,C:mitochondrial inner membrane,0.27
NP_922946,GO:0005743,C:mitochondrial inner membrane,0.74
NP_937837,GO:0005741,C:mitochondrial outer membrane,0.78
NP_000007,GO:0005759,C:mitochondrial matrix,0.76
NP_000008,GO:0005759,C:mitochondrial matrix,0.96
NP_000047,GO:0005743,C:mitochondrial inner membrane,0.35
NP_000378,GO:0005743,C:mitochondrial inner membrane,0.75
NP_000522,GO:0005759,C:mitochondrial matrix,0.71
NP_001001660,GO:0005759,C:mitochondrial matrix,0.2
NP_001001973,GO:0005759,C:mitochondrial matrix,0.28
NP_001007100,GO:0005758,C:mitochondrial intermembrane space,0.22
NP_001008662,GO:0005743,C:mitochondrial inner membrane,0.17
NP_001010845,GO:0005743,C:mitochondrial inner membrane,0.49
NP_001011670,GO:0005743,C:mitochondrial inner membrane,0.25
NP_001011671,GO:0005758,C:mitochondrial intermembrane space,0.4
NP_001020419,GO:0005759,C:mitochondrial matrix,0.19
NP_001026883,GO:0005743,C:mitochondrial inner membrane,0.7
NP_001033057,GO:0005741,C:mitochondrial outer membrane,0.15
NP_001035526,GO:0005759,C:mitochondrial matrix,0.3
NP_001035806,GO:0005759,C:mitochondrial matrix,0.93
NP_001035997,GO:0005759,C:mitochondrial matrix,0.22
NP_001073309,GO:0005741,C:mitochondrial outer membrane,0.23
NP_001074318,GO:0005759,C:mitochondrial matrix,0.68
NP_001077432,GO:0005741,C:mitochondrial outer membrane,0.59
NP_001089,GO:0005759,C:mitochondrial matrix,0.31
NP_001093095,GO:0005758,C:mitochondrial intermembrane space,0.19
NP_001098669,GO:0005743,C:mitochondrial inner membrane,0.74
NP_001107656,GO:0005759,C:mitochondrial matrix,0.57
NP_001108207,GO:0005743,C:mitochondrial inner membrane,0.23
NP_001116105,GO:0005759,C:mitochondrial matrix,0.26
NP_001120702,GO:0005743,C:mitochondrial inner membrane,0.47
NP_001122103,GO:0005743,C:mitochondrial inner membrane,0.39
NP_001122388,GO:0005741,C:mitochondrial outer membrane,0.75
NP_001124318,GO:0005741,C:mitochondrial outer membrane,0.15
NP_001128179,GO:0005759,C:mitochondrial matrix,0.19
NP_001129335,GO:0005759,C:mitochondrial matrix,0.21
NP_001129507,GO:0005759,C:mitochondrial matrix,0.13
NP_001135938,GO:0005741,C:mitochondrial outer membrane,0.09
NP_001137146,GO:0005743,C:mitochondrial inner membrane,0.8
NP_001137468,GO:0005759,C:mitochondrial matrix,0.17
NP_001138299,GO:0005759,C:mitochondrial matrix,0.74
NP_001138609,GO:0005741,C:mitochondrial outer membrane,0.39
NP_001139760,GO:0005741,C:mitochondrial outer membrane,0.32
NP_001157286,GO:0005743,C:mitochondrial inner membrane,0.19
NP_001159418,GO:0005741,C:mitochondrial outer membrane,0.13
NP_001161205,GO:0005743,C:mitochondrial inner membrane,0.08
NP_001161221,GO:0005741,C:mitochondrial outer membrane,0.2
NP_001164626,GO:0005743,C:mitochondrial inner membrane,0.68
NP_001166114,GO:0005741,C:mitochondrial outer membrane,0.1
NP_001166167,GO:0005759,C:mitochondrial matrix,0.65
NP_001171726,GO:0005759,C:mitochondrial matrix,0.15
NP_001171908,GO:0005759,C:mitochondrial matrix,0.21
NP_001171916,GO:0005743,C:mitochondrial inner membrane,0.77
NP_001171941,GO:0005759,C:mitochondrial matrix,0.16
NP_001186780,GO:0005743,C:mitochondrial inner membrane,0.44
NP_001191035,GO:0005741,C:mitochondrial outer membrane,0.6
NP_001191036,GO:0005758,C:mitochondrial intermembrane space,0.61
NP_001193356,GO:0005741,C:mitochondrial outer membrane,0.6
NP_001229831,GO:0005741,C:mitochondrial outer membrane,0.6
NP_001231499,GO:0005743,C:mitochondrial inner membrane,0.17
NP_001243442,GO:0005759,C:mitochondrial matrix,0.67
NP_001243608,GO:0005759,C:mitochondrial matrix,0.12
NP_001243609,GO:0005741,C:mitochondrial outer membrane,0.41
NP_001257455,GO:0005741,C:mitochondrial outer membrane,0.74
NP_001257608,GO:0005743,C:mitochondrial inner membrane,0.88
NP_001258980,GO:0005743,C:mitochondrial inner membrane,0.61
NP_001258998,GO:0005743,C:mitochondrial inner membrane,0.34
NP_001265180,GO:0005743,C:mitochondrial inner membrane,0.97
NP_001265232,GO:0005758,C:mitochondrial intermembrane space,0.18
NP_001265523,GO:0005741,C:mitochondrial outer membrane,0.28
NP_001269565,GO:0005743,C:mitochondrial inner membrane,0.27
NP_001269916,GO:0005743,C:mitochondrial inner membrane,0.39
NP_001272971,GO:0005741,C:mitochondrial outer membrane,0.1
NP_001272973,GO:0005743,C:mitochondrial inner membrane,0.14
NP_001273302,GO:0005741,C:mitochondrial outer membrane,0.69
NP_001273362,GO:0005759,C:mitochondrial matrix,0.47
NP_001273365,GO:0005759,C:mitochondrial matrix,0.3
NP_001273400,GO:0005759,C:mitochondrial matrix,0.45
NP_001273636,GO:0005743,C:mitochondrial inner membrane,0.64
NP_001389,GO:0005743,C:mitochondrial inner membrane,0.27
NP_001853,GO:0005759,C:mitochondrial matrix,0.94
NP_001866,GO:0005759,C:mitochondrial matrix,0.31
NP_001910,GO:0005743,C:mitochondrial inner membrane,0.46
NP_001922,GO:0005759,C:mitochondrial matrix,0.96
NP_002023,GO:0005758,C:mitochondrial intermembrane space,0.15
NP_002485,GO:0005743,C:mitochondrial inner membrane,0.77
NP_002603,GO:0005759,C:mitochondrial matrix,0.27
NP_002849,GO:0005743,C:mitochondrial inner membrane,0.79
NP_004037,GO:0005743,C:mitochondrial inner membrane,0.36
NP_004043,GO:0005741,C:mitochondrial outer membrane,0.73
NP_004538,GO:0005743,C:mitochondrial inner membrane,0.5
NP_004740,GO:0005759,C:mitochondrial matrix,0.7
NP_004992,GO:0005759,C:mitochondrial matrix,0.38
NP_005155,GO:0005743,C:mitochondrial inner membrane,0.69
NP_005539,GO:0005759,C:mitochondrial matrix,0.12
NP_005800,GO:0005758,C:mitochondrial intermembrane space,0.13
NP_005825,GO:0005743,C:mitochondrial inner membrane,0.77
NP_008838,GO:0005743,C:mitochondrial inner membrane,0.12
NP_009031,GO:0005743,C:mitochondrial inner membrane,0.82
NP_037543,GO:0005758,C:mitochondrial intermembrane space,0.22
NP_055116,GO:0005759,C:mitochondrial matrix,0.22
NP_056236,GO:0005743,C:mitochondrial inner membrane,0.75
NP_057104,GO:0005759,C:mitochondrial matrix,0.35
NP_057312,GO:0005741,C:mitochondrial outer membrane,0.19
NP_057366,GO:0005759,C:mitochondrial matrix,0.18
NP_057492,GO:0005759,C:mitochondrial matrix,0.55
NP_057724,GO:0005743,C:mitochondrial inner membrane,0.54
NP_058214,GO:0005743,C:mitochondrial inner membrane,0.38
NP_058436,GO:0005743,C:mitochondrial inner membrane,0.3
NP_060342,GO:0005743,C:mitochondrial inner membrane,0.14
NP_060472,GO:0005741,C:mitochondrial outer membrane,0.09
NP_060599,GO:0005759,C:mitochondrial matrix,0.46
NP_060605,GO:0005759,C:mitochondrial matrix,0.17
NP_060708,GO:0005743,C:mitochondrial inner membrane,0.33
NP_060816,GO:0005759,C:mitochondrial matrix,0.1
NP_061092,GO:0005743,C:mitochondrial inner membrane,0.91
NP_061880,GO:0005741,C:mitochondrial outer membrane,0.47
NP_064511,GO:0005741,C:mitochondrial outer membrane,0.53
NP_064533,GO:0005741,C:mitochondrial outer membrane,0.14
NP_064536,GO:0005743,C:mitochondrial inner membrane,0.27
NP_065861,GO:0005743,C:mitochondrial inner membrane,0.51
NP_068746,GO:0005759,C:mitochondrial matrix,0.28
NP_068758,GO:0005743,C:mitochondrial inner membrane,0.29
NP_068779,GO:0005743,C:mitochondrial inner membrane,0.76
NP_071381,GO:0005759,C:mitochondrial matrix,0.16
NP_077276,GO:0005758,C:mitochondrial intermembrane space,0.53
NP_078796,GO:0005743,C:mitochondrial inner membrane,0.32
NP_078813,GO:0005759,C:mitochondrial matrix,0.21
NP_079385,GO:0005758,C:mitochondrial intermembrane space,0.1
NP_114111,GO:0005741,C:mitochondrial outer membrane,0.32
NP_115682,GO:0005759,C:mitochondrial matrix,0.18
NP_115693,GO:0005743,C:mitochondrial inner membrane,0.92
NP_115719,GO:0005758,C:mitochondrial intermembrane space,0.45
NP_115756,GO:0005759,C:mitochondrial matrix,0.5
NP_148936,GO:0005759,C:mitochondrial matrix,0.28
NP_149972,GO:0005759,C:mitochondrial matrix,0.09
NP_444278,GO:0005759,C:mitochondrial matrix,0.53
NP_542984,GO:0005759,C:mitochondrial matrix,0.16
NP_598400,GO:0005759,C:mitochondrial matrix,0.44
NP_612367,GO:0005743,C:mitochondrial inner membrane,0.64
NP_619528,GO:0005758,C:mitochondrial intermembrane space,0.52
NP_619531,GO:0005758,C:mitochondrial intermembrane space,0.5
NP_653177,GO:0005743,C:mitochondrial inner membrane,0.3
NP_660304,GO:0005743,C:mitochondrial inner membrane,0.42
NP_683682,GO:0005759,C:mitochondrial matrix,0.27
NP_689939,GO:0005759,C:mitochondrial matrix,0.15
NP_705902,GO:0005743,C:mitochondrial inner membrane,0.24
NP_722546,GO:0005743,C:mitochondrial inner membrane,0.12
NP_733792,GO:0005759,C:mitochondrial matrix,0.59
NP_775928,GO:0005743,C:mitochondrial inner membrane,0.36
NP_776065,GO:0005743,C:mitochondrial inner membrane,0.31
NP_776187,GO:0005743,C:mitochondrial inner membrane,0.33
NP_777582,GO:0005743,C:mitochondrial inner membrane,0.46
NP_783859,GO:0005743,C:mitochondrial inner membrane,0.38
NP_835471,GO:0005743,C:mitochondrial inner membrane,0.12
NP_835497,GO:0005743,C:mitochondrial inner membrane,0.17
NP_851828,GO:0005743,C:mitochondrial inner membrane,0.43
NP_852615,GO:0005759,C:mitochondrial matrix,0.22
NP_872362,GO:0005743,C:mitochondrial inner membrane,0.93
NP_932158,GO:0005758,C:mitochondrial intermembrane space,0.08
NP_940951,GO:0005741,C:mitochondrial outer membrane,0.71
NP_954635,GO:0005759,C:mitochondrial matrix,0.92
NP_991330,GO:0005743,C:mitochondrial inner membrane,0.72
YP_003024035,GO:0005743,C:mitochondrial inner membrane,0.95
NP_000373,GO:0005743,C:mitochondrial inner membrane,0.41
NP_000399,GO:0005743,C:mitochondrial inner membrane,0.1
NP_000488,GO:0005743,C:mitochondrial inner membrane,0.43
NP_001001503,GO:0005759,C:mitochondrial matrix,0.45
NP_001001975,GO:0005743,C:mitochondrial inner membrane,0.45
NP_001003785,GO:0005758,C:mitochondrial intermembrane space,0.16
NP_001028260,GO:0005759,C:mitochondrial matrix,0.22
NP_001032626,GO:0005758,C:mitochondrial intermembrane space,0.1
NP_001032728,GO:0005743,C:mitochondrial inner membrane,0.85
NP_001034444,GO:0005743,C:mitochondrial inner membrane,0.95
NP_001035703,GO:0005743,C:mitochondrial inner membrane,0.49
NP_001035845,GO:0005743,C:mitochondrial inner membrane,0.28
NP_001073311,GO:0005741,C:mitochondrial outer membrane,0.23
NP_001093139,GO:0005741,C:mitochondrial outer membrane,0.67
NP_001116698,GO:0005759,C:mitochondrial matrix,0.58
NP_001121164,GO:0005759,C:mitochondrial matrix,0.37
NP_001122098,GO:0005741,C:mitochondrial outer membrane,0.13
NP_001123552,GO:0005741,C:mitochondrial outer membrane,0.59
NP_001123989,GO:0005743,C:mitochondrial inner membrane,0.31
NP_001124319,GO:0005741,C:mitochondrial outer membrane,0.17
NP_001129511,GO:0005759,C:mitochondrial matrix,0.18
NP_001129665,GO:0005759,C:mitochondrial matrix,0.35
NP_001129674,GO:0005743,C:mitochondrial inner membrane,0.13
NP_001135942,GO:0005743,C:mitochondrial inner membrane,0.28
NP_001136027,GO:0005743,C:mitochondrial inner membrane,0.24
NP_001137152,GO:0005743,C:mitochondrial inner membrane,0.23
NP_001138741,GO:0005759,C:mitochondrial matrix,0.13
NP_001138888,GO:0005741,C:mitochondrial outer membrane,0.75
NP_001156334,GO:0005743,C:mitochondrial inner membrane,0.79
NP_001158182,GO:0005759,C:mitochondrial matrix,0.57
NP_001158245,GO:0005759,C:mitochondrial matrix,0.17
NP_001159631,GO:0005743,C:mitochondrial inner membrane,0.56
NP_001159715,GO:0005743,C:mitochondrial inner membrane,0.18
NP_001159828,GO:0005759,C:mitochondrial matrix,0.21
NP_001161339,GO:0005759,C:mitochondrial matrix,0.41
NP_001161341,GO:0005743,C:mitochondrial inner membrane,0.25
NP_001161726,GO:0005743,C:mitochondrial inner membrane,0.28
NP_001162580,GO:0005743,C:mitochondrial inner membrane,0.88
NP_001166939,GO:0005743,C:mitochondrial inner membrane,0.27
NP_001167568,GO:0005759,C:mitochondrial matrix,0.1
NP_001171920,GO:0005743,C:mitochondrial inner membrane,0.77
NP_001180242,GO:0005741,C:mitochondrial outer membrane,0.14
NP_001180290,GO:0005741,C:mitochondrial outer membrane,0.67
NP_001180529,GO:0005759,C:mitochondrial matrix,0.16
NP_001182031,GO:0005759,C:mitochondrial matrix,0.15
NP_001182032,GO:0005759,C:mitochondrial matrix,0.14
NP_001182155,GO:0005741,C:mitochondrial outer membrane,0.08
NP_001186768,GO:0005741,C:mitochondrial outer membrane,0.62
NP_001191019,GO:0005759,C:mitochondrial matrix,0.74
NP_001191037,GO:0005758,C:mitochondrial intermembrane space,0.45
NP_001229698,GO:0005759,C:mitochondrial matrix,0.6
NP_001230710,GO:0005743,C:mitochondrial inner membrane,0.3
NP_001243327,GO:0005743,C:mitochondrial inner membrane,0.28
NP_001243895,GO:0005743,C:mitochondrial inner membrane,0.55
NP_001245376,GO:0005758,C:mitochondrial intermembrane space,0.18
NP_001248763,GO:0005759,C:mitochondrial matrix,0.18
NP_001258349,GO:0005741,C:mitochondrial outer membrane,0.26
NP_001258628,GO:0005743,C:mitochondrial inner membrane,0.84
NP_001265208,GO:0005743,C:mitochondrial inner membrane,0.31
NP_001265393,GO:0005741,C:mitochondrial outer membrane,0.16
NP_001268667,GO:0005741,C:mitochondrial outer membrane,0.58
NP_001269126,GO:0005743,C:mitochondrial inner membrane,0.98
NP_001269350,GO:0005758,C:mitochondrial intermembrane space,0.27
NP_001269713,GO:0005759,C:mitochondrial matrix,0.25
NP_001269873,GO:0005743,C:mitochondrial inner membrane,0.13
NP_001269875,GO:0005743,C:mitochondrial inner membrane,0.14
NP_001273369,GO:0005759,C:mitochondrial matrix,0.3
NP_001273425,GO:0005741,C:mitochondrial outer membrane,0.37
NP_001653,GO:0005759,C:mitochondrial matrix,0.1
NP_001678,GO:0005743,C:mitochondrial inner membrane,0.45
NP_002216,GO:0005759,C:mitochondrial matrix,0.91
NP_002590,GO:0005741,C:mitochondrial outer membrane,0.12
NP_002601,GO:0005759,C:mitochondrial matrix,0.5
NP_003134,GO:0005759,C:mitochondrial matrix,0.67
NP_003321,GO:0005741,C:mitochondrial outer membrane,0.45
NP_004041,GO:0005741,C:mitochondrial outer membrane,0.62
NP_004268,GO:0005743,C:mitochondrial inner membrane,0.78
NP_004285,GO:0005759,C:mitochondrial matrix,0.79
NP_004323,GO:0005743,C:mitochondrial inner membrane,0.53
NP_004773,GO:0005758,C:mitochondrial intermembrane space,0.4
NP_005165,GO:0005759,C:mitochondrial matrix,0.22
NP_006068,GO:0005743,C:mitochondrial inner membrane,0.16
NP_006347,GO:0005758,C:mitochondrial intermembrane space,0.17
NP_006784,GO:0005759,C:mitochondrial matrix,0.26
NP_036272,GO:0005743,C:mitochondrial inner membrane,0.8
NP_036592,GO:0005758,C:mitochondrial intermembrane space,0.51
NP_037519,GO:0005743,C:mitochondrial inner membrane,0.83
NP_037523,GO:0005759,C:mitochondrial matrix,0.73
NP_039663,GO:0005743,C:mitochondrial inner membrane,0.24
NP_054797,GO:0005759,C:mitochondrial matrix,0.27
NP_055066,GO:0005743,C:mitochondrial inner membrane,0.91
NP_055156,GO:0005743,C:mitochondrial inner membrane,0.8
NP_056195,GO:0005741,C:mitochondrial outer membrane,0.39
NP_056481,GO:0005759,C:mitochondrial matrix,0.16
NP_057134,GO:0005759,C:mitochondrial matrix,0.29
NP_057376,GO:0005759,C:mitochondrial matrix,0.39
NP_057673,GO:0005743,C:mitochondrial inner membrane,0.77
NP_059142,GO:0005759,C:mitochondrial matrix,0.34
NP_060017,GO:0005743,C:mitochondrial inner membrane,0.56
NP_060225,GO:0005759,C:mitochondrial matrix,0.48
NP_060460,GO:0005759,C:mitochondrial matrix,0.32
NP_060625,GO:0005743,C:mitochondrial inner membrane,0.93
NP_060626,GO:0005743,C:mitochondrial inner membrane,0.4
NP_060715,GO:0005759,C:mitochondrial matrix,0.28
NP_060950,GO:0005743,C:mitochondrial inner membrane,0.71
