Header,GeneID,Gene,Prediction,OTHER,SP,mTP,CS Position,CS,Prob
NP_1273766,246243,RNASEH1,OTHER,0.999817,0.000167,0.000015,,,
NP_1273763,246243,RNASEH1,OTHER,0.935525,0.006601,0.057875,,,
NP_2927,246243,RNASEH1,mTP,0.222719,0.203184,0.574097,CS pos: 34-35. RRG-RK. Pr: 0.1767,34,0.1767
NP_1243407,129607,CMPK2,mTP,0.083184,0.002709,0.914106,CS pos: 33-34. RRF-VL. Pr: 0.3688,33,0.3688
NP_997198,129607,CMPK2,mTP,0.083184,0.002709,0.914106,CS pos: 33-34. RRF-VL. Pr: 0.3688,33,0.3688
NP_1243406,129607,CMPK2,mTP,0.083184,0.002709,0.914106,CS pos: 33-34. RRF-VL. Pr: 0.3688,33,0.3688
NP_65956,57665,RDH14,mTP,0.277689,0.128513,0.593798,CS pos: 34-35. LRR-GG. Pr: 0.1371,34,0.1371
NP_173,3030,HADHA,mTP,0.015621,0.000015,0.984364,CS pos: 36-37. ALL-TR. Pr: 0.3361,36,0.3361
NP_2428,4358,MPV17,mTP,0.354245,0.003679,0.642076,CS pos: 11-12. RAL-AA. Pr: 0.1448,11,0.1448
NP_4882,9553,MRPL33,mTP,0.17515,0.003935,0.820915,CS pos: 8-9. VFF-AK. Pr: 0.6824,8,0.6824
NP_663303,9553,MRPL33,mTP,0.250869,0.010371,0.73876,CS pos: 8-9. VFF-AK. Pr: 0.7778,8,0.7778
NP_60380,55006,TRMT61B,mTP,0.369182,0.079892,0.550926,CS pos: 41-42. CCR-SS. Pr: 0.2407,41,0.2407
NP_653337,55471,NDUFAF7,mTP,0.010694,0.003543,0.985763,CS pos: 29-30. KYF-SS. Pr: 0.7824,29,0.7824
NP_1077415,55471,NDUFAF7,mTP,0.021009,0.006127,0.972864,CS pos: 29-30. KYF-SS. Pr: 0.7834,29,0.7834
NP_4709,9167,COX7A2L,OTHER,0.525841,0.132654,0.341505,,,
NP_2444,4528,MTIF2,OTHER,0.729211,0.000125,0.270663,,,
NP_1005369,4528,MTIF2,OTHER,0.729211,0.000125,0.270663,,,
NP_149100,87178,PNPT1,mTP,0.230689,0.000244,0.769067,CS pos: 39-40. ALW-SS. Pr: 0.3196,39,0.3196
NP_1002755,27247,NFU1,mTP,0.078857,0.000133,0.921009,CS pos: 60-61. YMF-IQ. Pr: 0.3269,60,0.3269
NP_56515,27247,NFU1,mTP,0.413503,0.0002,0.586297,CS pos: 36-37. YMF-IQ. Pr: 0.3529,36,0.3529
NP_1002756,27247,NFU1,OTHER,0.999432,0.000368,0.0002,,,
NP_116211,84908,FAM136A,OTHER,0.998157,0.000964,0.000879,,,
NP_115990,84693,MCEE,mTP,0.00259,0.00365,0.99376,CS pos: 29-30. RAS-ST. Pr: 0.3360,29,0.336
NP_3115,6697,SPR,OTHER,0.564348,0.268648,0.167005,,,
NP_550440,1716,DGUOK,mTP,0.063956,0.00019,0.935854,CS pos: 41-42. RRL-SI. Pr: 0.2434,41,0.2434
NP_550438,1716,DGUOK,mTP,0.083366,0.000272,0.916361,CS pos: 41-42. RRL-SI. Pr: 0.2434,41,0.2434
NP_6627,10797,MTHFD2,mTP,0.004841,0.000279,0.99488,CS pos: 35-36. VRN-EA. Pr: 0.4840,35,0.484
NP_997717,388962,BOLA3,mTP,0.012604,0.000038,0.987358,CS pos: 26-27. RMF-AT. Pr: 0.9160,26,0.916
NP_1030582,388962,BOLA3,mTP,0.058632,0.000253,0.941115,CS pos: 26-27. RMF-AT. Pr: 0.9155,26,0.9155
NP_444278,116540,MRPL53,mTP,0.34485,0.000041,0.655109,CS pos: 33-34. RTF-LQ. Pr: 0.2034,33,0.2034
NP_659540,27429,HTRA2,mTP,0.387988,0.007427,0.604585,CS pos: 82-83. RAQ-LT. Pr: 0.1076,82,0.1076
NP_37379,27429,HTRA2,mTP,0.387988,0.007427,0.604585,CS pos: 82-83. RAQ-LT. Pr: 0.1076,82,0.1076
NP_55578,9801,MRPL19,mTP,0.00194,0.000018,0.998042,CS pos: 44-45. RQQ-ST. Pr: 0.4134,44,0.4134
NP_60422,55037,PTCD3,mTP,0.002179,0.000015,0.997806,CS pos: 37-38. RFY-SG. Pr: 0.5023,37,0.5023
NP_663619,51318,MRPL35,mTP,0.037944,0.000028,0.962028,CS pos: 46-47. GRF-SH. Pr: 0.5041,46,0.5041
NP_57706,51318,MRPL35,mTP,0.028222,0.00002,0.971758,CS pos: 46-47. GRF-SH. Pr: 0.4821,46,0.4821
NP_1434,2168,FABP1,OTHER,0.999039,0.00017,0.000791,,,
NP_114108,64969,MRPS5,mTP,0.145791,0.022267,0.831942,CS pos: 73-74. CCI-SS. Pr: 0.1514,73,0.1514
NP_997211,150763,GPAT2,OTHER,0.995677,0.000366,0.003957,,,
NP_1853,1329,COX5B,mTP,0.000179,0.000036,0.999785,CS pos: 31-32. RSM-AS. Pr: 0.8100,31,0.81
NP_660200,51601,LIPT1,OTHER,0.76296,0.074019,0.163022,,,
NP_660199,51601,LIPT1,OTHER,0.76296,0.074019,0.163022,,,
NP_660198,51601,LIPT1,OTHER,0.76296,0.074019,0.163022,,,
NP_57013,51601,LIPT1,OTHER,0.76296,0.074019,0.163022,,,
NP_1191759,51601,LIPT1,OTHER,0.76296,0.074019,0.163022,,,
NP_660213,51263,MRPL30,mTP,0.445122,0.000293,0.554585,CS pos: 34-35. IRH-KF. Pr: 0.1809,34,0.1809
NP_872578,64965,MRPS9,mTP,0.352268,0.004512,0.64322,CS pos: 51-52. LRH-TA. Pr: 0.1394,51,0.1394
NP_1191039,10018,BCL2L11,OTHER,0.999767,0.000158,0.000075,,,
NP_1191041,10018,BCL2L11,OTHER,0.973445,0.026482,0.000074,,,
NP_1191040,10018,BCL2L11,OTHER,0.959298,0.040669,0.000034,,,
NP_1191038,10018,BCL2L11,OTHER,0.999927,0.000067,0.000007,,,
NP_619530,10018,BCL2L11,OTHER,0.999887,0.000106,0.000007,,,
NP_1191036,10018,BCL2L11,OTHER,0.999611,0.000311,0.000078,,,
NP_619528,10018,BCL2L11,OTHER,0.99997,0.00002,0.000009,,,
NP_1191042,10018,BCL2L11,OTHER,0.995486,0.004488,0.000025,,,
NP_1191035,10018,BCL2L11,OTHER,0.99985,0.000054,0.000097,,,
NP_996885,10018,BCL2L11,OTHER,0.999947,0.00005,0.000003,,,
NP_619533,10018,BCL2L11,OTHER,0.869192,0.124523,0.006285,,,
NP_6529,10018,BCL2L11,OTHER,0.999928,0.000039,0.000033,,,
NP_1191037,10018,BCL2L11,OTHER,0.999971,0.000023,0.000006,,,
NP_619531,10018,BCL2L11,OTHER,0.998443,0.001356,0.000201,,,
NP_619529,10018,BCL2L11,OTHER,0.999843,0.000135,0.000022,,,
NP_619532,10018,BCL2L11,OTHER,0.999908,0.000084,0.000008,,,
NP_996886,10018,BCL2L11,OTHER,0.999573,0.000264,0.000164,,,
NP_619527,10018,BCL2L11,OTHER,0.999973,0.000013,0.000014,,,
NP_115685,84269,CHCHD5,OTHER,0.987631,0.011584,0.000786,,,
NP_1171514,1622,DBI,OTHER,0.995896,0.000281,0.003822,,,
NP_1171513,1622,DBI,OTHER,0.898248,0.096603,0.005149,,,
NP_1269562,1622,DBI,OTHER,0.898248,0.096603,0.005149,,,
NP_65438,1622,DBI,OTHER,0.898248,0.096603,0.005149,,,
NP_1269565,1622,DBI,OTHER,0.936057,0.020818,0.043125,,,
NP_1171512,1622,DBI,OTHER,0.999738,0.000011,0.000251,,,
NP_1171488,1622,DBI,OTHER,0.998026,0.000099,0.001875,,,
NP_1269563,1622,DBI,OTHER,0.898248,0.096603,0.005149,,,
NP_1269564,1622,DBI,OTHER,0.898248,0.096603,0.005149,,,
NP_1073332,1622,DBI,OTHER,0.981416,0.01091,0.007674,,,
NP_1073331,1622,DBI,OTHER,0.995125,0.003344,0.001531,,,
NP_85054,80775,TMEM177,mTP,0.303897,0.098882,0.59722,CS pos: 28-29. GLF-GV. Pr: 0.2266,28,0.2266
NP_1098669,80775,TMEM177,mTP,0.303897,0.098882,0.59722,CS pos: 28-29. GLF-GV. Pr: 0.2266,28,0.2266
NP_1098668,80775,TMEM177,mTP,0.303897,0.098882,0.59722,CS pos: 28-29. GLF-GV. Pr: 0.2266,28,0.2266
NP_56517,27249,MMADHC,mTP,0.027017,0.005404,0.967579,CS pos: 31-32. KAF-ST. Pr: 0.8101,31,0.8101
NP_54887,29081,METTL5,OTHER,0.999745,0.000054,0.000201,,,
NP_3696,8604,SLC25A12,OTHER,0.999681,0.000093,0.000226,,,
NP_2601,5163,PDK1,mTP,0.000876,0.000085,0.999039,CS pos: 28-29. RSF-SS. Pr: 0.9081,28,0.9081
NP_1265478,5163,PDK1,mTP,0.001398,0.000221,0.998382,CS pos: 28-29. RSF-SS. Pr: 0.9081,28,0.9081
NP_1177258,518,ATP5MC3,mTP,0.000355,0.0001,0.999544,CS pos: 67-68. ISR-DI. Pr: 0.3592,67,0.3592
NP_1680,518,ATP5MC3,mTP,0.032692,0.000543,0.966765,CS pos: 67-68. ISR-DI. Pr: 0.3815,67,0.3815
NP_1002258,518,ATP5MC3,mTP,0.032692,0.000543,0.966765,CS pos: 67-68. ISR-DI. Pr: 0.3815,67,0.3815
NP_6545,10651,MTX2,OTHER,0.995084,0.004307,0.000609,,,
NP_71748,64172,OSGEPL1,OTHER,0.970329,0.002926,0.026744,,,
NP_79423,80219,COQ10B,mTP,0.460304,0.001579,0.538118,CS pos: 20-21. RPK-SA. Pr: 0.1071,20,0.1071
NP_2148,3336,HSPE1,OTHER,0.840142,0.010824,0.149034,,,
NP_2147,3329,HSPD1,mTP,0.00077,0.000007,0.999223,CS pos: 26-27. RAY-AK. Pr: 0.9310,26,0.931
NP_955472,3329,HSPD1,mTP,0.00077,0.000007,0.999223,CS pos: 26-27. RAY-AK. Pr: 0.9310,26,0.931
NP_612404,92935,MARS2,mTP,0.143065,0.001125,0.85581,CS pos: 29-30. RYY-SS. Pr: 0.7360,29,0.736
NP_710156,205327,C2orf69,SP,0.016514,0.869805,0.113682,CS pos: 24-25. GNA-SS. Pr: 0.7849,24,0.7849
NP_78796,79568,MAIP1,mTP,0.10792,0.000104,0.891975,CS pos: 96-97. RSY-ST. Pr: 0.6730,96,0.673
NP_1129511,60491,NIF3L1,OTHER,0.853233,0.000958,0.145809,,,
NP_68596,60491,NIF3L1,OTHER,0.99781,0.002109,0.000081,,,
NP_1135828,60491,NIF3L1,OTHER,0.853233,0.000958,0.145809,,,
NP_1135827,60491,NIF3L1,OTHER,0.99781,0.002109,0.000081,,,
NP_2482,4709,NDUFB3,OTHER,0.999833,0.000071,0.000096,,,
NP_1244031,4709,NDUFB3,OTHER,0.999833,0.000071,0.000096,,,
NP_203520,841,CASP8,OTHER,0.999984,0.000003,0.000013,,,
NP_1073594,841,CASP8,OTHER,0.998416,0.000364,0.001221,,,
NP_1186913,4719,NDUFS1,mTP,0.325637,0.006318,0.668045,CS pos: 37-38. VRT-TA. Pr: 0.3432,37,0.3432
NP_1186911,4719,NDUFS1,OTHER,0.997569,0.002068,0.000363,,,
NP_4997,4719,NDUFS1,mTP,0.05896,0.002265,0.938775,CS pos: 23-24. VRT-TA. Pr: 0.3421,23,0.3421
NP_1186912,4719,NDUFS1,OTHER,0.990457,0.00145,0.008093,,,
NP_1186910,4719,NDUFS1,mTP,0.042377,0.001133,0.95649,CS pos: 23-24. VRT-TA. Pr: 0.3412,23,0.3412
NP_1129666,22868,FASTKD2,OTHER,0.935271,0.000466,0.064263,,,
NP_1129665,22868,FASTKD2,OTHER,0.935271,0.000466,0.064263,,,
NP_55744,22868,FASTKD2,OTHER,0.935271,0.000466,0.064263,,,
NP_1599,33,ACADL,mTP,0.000648,0.000005,0.999347,CS pos: 27-28. ARC-SH. Pr: 0.6017,27,0.6017
NP_1866,1373,CPS1,mTP,0.216447,0.000545,0.783008,CS pos: 39-40. RLL-SV. Pr: 0.2935,39,0.2935
NP_1116106,1373,CPS1,OTHER,0.999553,0.000327,0.00012,,,
NP_1070867,25953,PNKD,mTP,0.092202,0.000059,0.90774,CS pos: 41-42. RAL-QS. Pr: 0.2932,41,0.2932
NP_72094,25953,PNKD,SP,0.26805,0.726143,0.005807,CS pos: 35-36. CRA-RR. Pr: 0.8965,35,0.8965
NP_4319,617,BCS1L,OTHER,0.979564,0.000547,0.019888,,,
NP_1244271,617,BCS1L,OTHER,0.979564,0.000547,0.019888,,,
NP_1073335,617,BCS1L,OTHER,0.979564,0.000547,0.019888,,,
NP_1244272,617,BCS1L,OTHER,0.979564,0.000547,0.019888,,,
NP_1244273,617,BCS1L,OTHER,0.979564,0.000547,0.019888,,,
NP_5680,10058,ABCB6,OTHER,0.999739,0.000155,0.000106,,,
NP_75066,65080,MRPL44,mTP,0.086723,0.000213,0.913064,CS pos: 30-31. VRG-VK. Pr: 0.2491,30,0.2491
NP_1230181,80303,EFHD1,OTHER,0.999979,0.000007,0.000013,,,
NP_79478,80303,EFHD1,OTHER,0.999876,0.000012,0.000112,,,
NP_21,189,AGXT,OTHER,0.908474,0.003925,0.087601,,,
NP_872307,130916,MTERF4,mTP,0.341799,0.006262,0.651939,CS pos: 43-44. RKL-TT. Pr: 0.3662,43,0.3662
NP_115904,666,BOK,OTHER,0.998541,0.000667,0.000791,,,
NP_1274178,728294,D2HGDH,OTHER,0.987725,0.009911,0.002363,,,
NP_36277,1841,DTYMK,OTHER,0.997238,0.000124,0.002638,,,
NP_1158503,1841,DTYMK,OTHER,0.996262,0.000101,0.003637,,,
NP_689996,728294,D2HGDH,mTP,0.010609,0.012398,0.976993,CS pos: 36-37. RGC-CS. Pr: 0.3640,36,0.364
NP_1161073,129807,NEU4,OTHER,0.989394,0.003949,0.006657,,,
NP_1161072,129807,NEU4,OTHER,0.989394,0.003949,0.006657,,,
NP_1161074,129807,NEU4,OTHER,0.989394,0.003949,0.006657,,,
NP_542779,129807,NEU4,OTHER,0.681541,0.001865,0.316594,,,
NP_1161071,129807,NEU4,OTHER,0.665599,0.001165,0.333236,,,
NP_36322,10840,ALDH1L1,OTHER,0.980102,0.017875,0.002023,,,
NP_1257293,10840,ALDH1L1,OTHER,0.997768,0.002042,0.00019,,,
NP_1257294,10840,ALDH1L1,OTHER,0.978831,0.019169,0.002,,,
NP_872329,152100,CMC1,OTHER,0.990564,0.000922,0.008514,,,
NP_2003,2272,FHIT,OTHER,0.808334,0.017175,0.174491,,,
NP_1159715,2272,FHIT,OTHER,0.808334,0.017175,0.174491,,,
NP_65142,57129,MRPL47,mTP,0.012739,0.000013,0.987247,CS pos: 62-63. SRK-GL. Pr: 0.2063,62,0.2063
NP_817125,57129,MRPL47,OTHER,0.997373,0.000084,0.002542,,,
NP_1091972,131474,CHCHD4,OTHER,0.999958,0.000038,0.000005,,,
NP_653237,131474,CHCHD4,OTHER,0.999289,0.000135,0.000576,,,
NP_1269844,285343,TCAIM,OTHER,0.999842,0.00002,0.000139,,,
NP_1269843,285343,TCAIM,OTHER,0.999842,0.00002,0.000139,,,
NP_776187,285343,TCAIM,mTP,0.45162,0.001604,0.546775,CS pos: 27-28. RAL-SG. Pr: 0.5210,27,0.521
NP_1269842,285343,TCAIM,mTP,0.45162,0.001604,0.546775,CS pos: 27-28. RAL-SG. Pr: 0.5210,27,0.521
NP_56155,23395,LARS2,mTP,0.287636,0.00189,0.710473,CS pos: 41-42. SIY-SA. Pr: 0.3840,41,0.384
NP_1127703,64943,NT5DC2,mTP,0.327784,0.006686,0.66553,CS pos: 24-25. PRA-AS. Pr: 0.2202,24,0.2202
NP_75059,64943,NT5DC2,OTHER,0.996308,0.002706,0.000986,,,
NP_60867,55349,CHDH,mTP,0.001494,0.000098,0.998407,CS pos: 30-31. RAL-AS. Pr: 0.8186,30,0.8186
NP_775742,115286,SLC25A26,SP,0.459308,0.539165,0.001527,CS pos: 17-18. VAG-VS. Pr: 0.7010,17,0.701
NP_1158268,115286,SLC25A26,OTHER,0.802015,0.028792,0.169192,,,
NP_1171070,8801,SUCLG2,mTP,0.102591,0.000702,0.896707,CS pos: 23-24. RFL-AA. Pr: 0.2927,23,0.2927
NP_3839,8801,SUCLG2,mTP,0.102591,0.000702,0.896707,CS pos: 23-24. RFL-AA. Pr: 0.2927,23,0.2927
NP_88,1371,CPOX,mTP,0.088676,0.001913,0.909411,CS pos: 38-39. RAW-SQ. Pr: 0.0929,38,0.0929
NP_955452,10721,POLQ,OTHER,0.999236,0.000009,0.000755,,,
NP_115719,84303,CHCHD6,OTHER,0.999984,0.000004,0.000013,,,
NP_9139,11222,MRPL3,mTP,0.372836,0.019066,0.608098,CS pos: 40-41. VRG-LH. Pr: 0.3796,40,0.3796
NP_1186976,349565,NMNAT3,SP,0.472862,0.481761,0.045377,CS pos: 21-22. TNM-HL. Pr: 0.4600,21,0.46
NP_64576,56945,MRPS22,mTP,0.074412,0.033251,0.892338,CS pos: 53-54. RRF-SS. Pr: 0.9198,53,0.9198
NP_835471,349565,NMNAT3,OTHER,0.997257,0.00033,0.002414,,,
NP_1159887,1962,EHHADH,OTHER,0.973393,0.006659,0.019949,,,
NP_1957,1962,EHHADH,OTHER,0.773791,0.007965,0.218245,,,
NP_570847,4976,OPA1,mTP,0.029847,0.000054,0.970099,CS pos: 62-63. QQF-SS. Pr: 0.1811,62,0.1811
NP_570850,4976,OPA1,mTP,0.029847,0.000054,0.970099,CS pos: 62-63. QQF-SS. Pr: 0.1811,62,0.1811
NP_570844,4976,OPA1,mTP,0.044682,0.000044,0.955274,CS pos: 62-63. QQF-SS. Pr: 0.1805,62,0.1805
NP_570848,4976,OPA1,mTP,0.042578,0.000062,0.957359,CS pos: 62-63. QQF-SS. Pr: 0.1803,62,0.1803
NP_570849,4976,OPA1,mTP,0.035591,0.00008,0.964329,CS pos: 62-63. QQF-SS. Pr: 0.1811,62,0.1811
NP_56375,4976,OPA1,mTP,0.035591,0.00008,0.964329,CS pos: 62-63. QQF-SS. Pr: 0.1811,62,0.1811
NP_570845,4976,OPA1,mTP,0.046931,0.000052,0.953017,CS pos: 62-63. QQF-SS. Pr: 0.1792,62,0.1792
NP_570846,4976,OPA1,mTP,0.048581,0.000064,0.951355,CS pos: 62-63. QQF-SS. Pr: 0.1813,62,0.1813
NP_4042,622,BDH1,mTP,0.006012,0.000084,0.993904,CS pos: 46-47. RTY-AS. Pr: 0.9078,46,0.9078
NP_976060,622,BDH1,mTP,0.006012,0.000084,0.993904,CS pos: 46-47. RTY-AS. Pr: 0.9078,46,0.9078
NP_976059,622,BDH1,mTP,0.006012,0.000084,0.993904,CS pos: 46-47. RTY-AS. Pr: 0.9078,46,0.9078
NP_886552,51095,TRNT1,mTP,0.339298,0.000069,0.660633,CS pos: 28-29. YLF-TM. Pr: 0.2019,28,0.2019
NP_58434,4968,OGG1,OTHER,0.570049,0.054255,0.375696,,,
NP_58213,4968,OGG1,OTHER,0.570049,0.054255,0.375696,,,
NP_58436,4968,OGG1,OTHER,0.568402,0.060207,0.371391,,,
NP_58212,4968,OGG1,OTHER,0.570049,0.054255,0.375696,,,
NP_58214,4968,OGG1,OTHER,0.570049,0.054255,0.375696,,,
NP_2533,4968,OGG1,OTHER,0.570049,0.054255,0.375696,,,
NP_58437,4968,OGG1,OTHER,0.570049,0.054255,0.375696,,,
NP_58438,4968,OGG1,OTHER,0.570049,0.054255,0.375696,,,
NP_775930,285367,RPUSD3,OTHER,0.810107,0.001659,0.188234,,,
NP_1136019,285367,RPUSD3,OTHER,0.817093,0.001239,0.181668,,,
NP_1271330,132001,TAMM41,OTHER,0.861905,0.004147,0.133948,,,
NP_620162,132001,TAMM41,OTHER,0.861905,0.004147,0.133948,,,
NP_71942,64432,MRPS25,OTHER,0.898697,0.000263,0.101041,,,
NP_612390,92106,OXNAD1,mTP,0.097761,0.000657,0.901582,CS pos: 35-36. LRH-LT. Pr: 0.2684,35,0.2684
NP_60367,54995,OXSM,mTP,0.396691,0.000668,0.602642,CS pos: 39-40. ISR-LH. Pr: 0.2224,39,0.2224
NP_1138863,54995,OXSM,mTP,0.396691,0.000668,0.602642,CS pos: 39-40. ISR-LH. Pr: 0.2224,39,0.2224
NP_1123882,30,ACAA1,OTHER,0.740428,0.020452,0.23912,,,
NP_1598,30,ACAA1,OTHER,0.703769,0.020534,0.275696,,,
NP_5098,9941,EXOG,mTP,0.135069,0.034602,0.83033,CS pos: 46-47. AEG-AL. Pr: 0.1287,46,0.1287
NP_1138936,9941,EXOG,mTP,0.135638,0.018034,0.846329,CS pos: 46-47. AEG-AL. Pr: 0.1425,46,0.1425
NP_60345,54977,SLC25A38,OTHER,0.998032,0.000296,0.001672,,,
NP_54775,25994,HIGD1A,OTHER,0.999885,0.000075,0.00004,,,
NP_1093139,25994,HIGD1A,OTHER,0.999885,0.000075,0.00004,,,
NP_1093138,25994,HIGD1A,OTHER,0.995606,0.001747,0.002648,,,
NP_1025011,285343,TCAIM,mTP,0.446344,0.010174,0.543482,CS pos: 27-28. RAL-SG. Pr: 0.4349,27,0.4349
NP_1025010,285343,TCAIM,mTP,0.446344,0.010174,0.543482,CS pos: 27-28. RAL-SG. Pr: 0.4349,27,0.4349
NP_619520,22907,DHX30,OTHER,0.992283,0.000037,0.00768,,,
NP_55781,22907,DHX30,OTHER,0.993999,0.000085,0.005916,,,
NP_5784,10201,NME6,OTHER,0.985366,0.011643,0.002991,,,
NP_78937,79714,CCDC51,mTP,0.489222,0.000276,0.510501,CS pos: 36-37. RTL-CS. Pr: 0.2754,36,0.2754
NP_1243894,79714,CCDC51,OTHER,0.998697,0.001172,0.000131,,,
NP_1243895,79714,CCDC51,OTHER,0.998697,0.001172,0.000131,,,
NP_1243896,79714,CCDC51,OTHER,0.998697,0.001172,0.000131,,,
NP_1243897,79714,CCDC51,OTHER,0.998697,0.001172,0.000131,,,
NP_1243898,79714,CCDC51,OTHER,0.998697,0.001172,0.000131,,,
NP_1243893,79714,CCDC51,mTP,0.489222,0.000276,0.510501,CS pos: 36-37. RTL-CS. Pr: 0.2754,36,0.2754
NP_3356,7384,UQCRC1,mTP,0.002847,0.000079,0.997073,CS pos: 34-35. LRS-TA. Pr: 0.3041,34,0.3041
NP_378,788,SLC25A20,OTHER,0.897801,0.09717,0.005029,,,
NP_951047,25915,NDUFAF3,OTHER,0.955596,0.018256,0.026148,,,
NP_951033,25915,NDUFAF3,OTHER,0.955596,0.018256,0.026148,,,
NP_951056,25915,NDUFAF3,OTHER,0.955596,0.018256,0.026148,,,
NP_951032,25915,NDUFAF3,mTP,0.097799,0.000134,0.902067,CS pos: 31-32. RRG-HR. Pr: 0.3292,31,0.3292
NP_958799,2876,GPX1,mTP,0.19029,0.178053,0.631658,CS pos: 24-25. RPL-AG. Pr: 0.3512,24,0.3512
NP_572,2876,GPX1,mTP,0.134336,0.05706,0.808604,CS pos: 24-25. RPL-AG. Pr: 0.3246,24,0.3246
NP_1158184,275,AMT,mTP,0.053842,0.003882,0.942277,CS pos: 28-29. LSC-AQ. Pr: 0.2409,28,0.2409
NP_472,275,AMT,mTP,0.053842,0.003882,0.942277,CS pos: 28-29. LSC-AQ. Pr: 0.2409,28,0.2409
NP_1158183,275,AMT,mTP,0.016948,0.00177,0.981281,CS pos: 28-29. LSC-AQ. Pr: 0.2296,28,0.2296
NP_1158182,275,AMT,mTP,0.055329,0.004738,0.939932,CS pos: 28-29. LSC-AQ. Pr: 0.2408,28,0.2408
NP_57257,51409,HEMK1,mTP,0.311699,0.111803,0.576498,CS pos: 26-27. WAF-SS. Pr: 0.3594,26,0.3594
NP_954635,211,ALAS1,OTHER,0.663395,0.000903,0.335702,,,
NP_679,211,ALAS1,OTHER,0.663395,0.000903,0.335702,,,
NP_1138423,132158,GLYCTK,mTP,0.259211,0.000446,0.740343,CS pos: 28-29. ARL-AS. Pr: 0.3570,28,0.357
NP_660305,132158,GLYCTK,mTP,0.256649,0.00016,0.743191,CS pos: 28-29. ARL-AS. Pr: 0.3566,28,0.3566
NP_808881,201626,PDE12,OTHER,0.500241,0.000496,0.499263,,,
NP_1166939,5162,PDHB,mTP,0.058953,0.000028,0.941019,CS pos: 30-31. PAA-LQ. Pr: 0.3182,30,0.3182
NP_916,5162,PDHB,mTP,0.057544,0.000035,0.94242,CS pos: 30-31. PAA-LQ. Pr: 0.3181,30,0.3181
NP_71355,63899,NSUN3,OTHER,0.999315,0.00009,0.000595,,,
NP_64587,56954,NIT2,OTHER,0.72903,0.097675,0.173294,,,
NP_55635,9868,TOMM70,OTHER,0.999329,0.000291,0.00038,,,
NP_60289,54931,TRMT10C,mTP,0.08453,0.000019,0.91545,CS pos: 39-40. QRY-MS. Pr: 0.5340,39,0.534
NP_60864,55347,ABHD10,mTP,0.014347,0.017021,0.968632,CS pos: 51-52. CRQ-KT. Pr: 0.3143,51,0.3143
NP_1258998,55347,ABHD10,mTP,0.014958,0.019853,0.96519,CS pos: 51-52. CRQ-KT. Pr: 0.3144,51,0.3144
NP_57673,51300,TIMMDC1,OTHER,0.626946,0.3412,0.031854,,,
NP_5685,10063,COX17,OTHER,0.676288,0.321638,0.002074,,,
NP_1161803,4710,NDUFB4,OTHER,0.998146,0.000309,0.001545,,,
NP_4538,4710,NDUFB4,OTHER,0.998077,0.000291,0.001632,,,
NP_55182,26355,FAM162A,mTP,0.371683,0.002006,0.626311,CS pos: 40-41. NGF-CT. Pr: 0.2341,40,0.2341
NP_1017928,131076,CCDC58,OTHER,0.999976,0.000016,0.000008,,,
NP_54768,28976,ACAD9,mTP,0.012119,0.000012,0.987869,CS pos: 39-40. RAF-AK. Pr: 0.6377,39,0.6377
NP_115545,84129,ACAD11,OTHER,0.999918,0.000073,0.000009,,,
NP_1171485,5096,PCCB,mTP,0.000228,0.000036,0.999737,CS pos: 28-29. RSL-CS. Pr: 0.6590,28,0.659
NP_523,5096,PCCB,mTP,0.000206,0.000021,0.999774,CS pos: 28-29. RSL-CS. Pr: 0.6589,28,0.6589
NP_1098117,55186,SLC25A36,OTHER,0.899002,0.082965,0.018033,,,
NP_60625,55186,SLC25A36,OTHER,0.899002,0.082965,0.018033,,,
NP_775928,285315,C3orf33,mTP,0.173936,0.000962,0.825102,CS pos: 19-20. SKF-TS. Pr: 0.7061,19,0.7061
NP_79272,85476,GFM1,mTP,0.002253,0.041774,0.955974,CS pos: 35-36. CRW-SS. Pr: 0.8759,35,0.8759
NP_284941,55669,MFN1,OTHER,0.999581,0.000334,0.000086,,,
NP_1186886,4711,NDUFB5,mTP,0.000453,0.000034,0.999512,CS pos: 37-38. RGF-PK. Pr: 0.2767,37,0.2767
NP_1186887,4711,NDUFB5,mTP,0.001364,0.000129,0.998507,CS pos: 46-47. VRH-SG. Pr: 0.4051,46,0.4051
NP_2483,4711,NDUFB5,mTP,0.002383,0.000055,0.997562,CS pos: 46-47. VRH-SG. Pr: 0.3931,46,0.3931
NP_1177162,131118,DNAJC19,OTHER,0.962501,0.00075,0.036749,,,
NP_660304,131118,DNAJC19,mTP,0.20299,0.374875,0.422135,CS pos: 21-22. GRY-VL. Pr: 0.2035,21,0.2035
NP_64551,56922,MCCC1,mTP,0.26857,0.001063,0.730367,CS pos: 41-42. MKY-TT. Pr: 0.4038,41,0.4038
NP_61092,55486,PARL,mTP,0.073346,0.001279,0.925376,CS pos: 52-53. KCG-FR. Pr: 0.3654,52,0.3654
NP_1032728,55486,PARL,mTP,0.073346,0.001279,0.925376,CS pos: 52-53. KCG-FR. Pr: 0.3654,52,0.3654
NP_689896,201973,PRIMPOL,OTHER,0.998809,0.000026,0.001164,,,
NP_36450,3954,LETM1,OTHER,0.523728,0.000584,0.475689,,,
NP_6336,10463,SLC30A9,mTP,0.145827,0.00148,0.852693,CS pos: 67-68. KLY-ST. Pr: 0.4224,67,0.4224
